Bonmin 1.7 using Cbc 2.8 and Ipopt 3.11
bonmin.time_limit 7200


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -1848.1617       43 0.088005
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -1848.1613       36 0.068005
NLP0014I             2         OPT -1774.3987       67 0.084006
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT -1774.3987       30 0.036002
Cbc0012I Integer solution of -1774.3987 found by DiveMIPFractional after 0 iterations and 0 nodes (0.26 seconds)
NLP0014I             2         OPT -1842.0506       39 0.076005
NLP0014I             3         OPT -1800.3395       40 0.080005
NLP0014I             4         OPT -1842.0506       39 0.076004
NLP0014I             5         OPT -1800.3395       39 0.076005
NLP0014I             6         OPT -1842.0506       39 0.080005
NLP0014I             7         OPT -1800.3395       39 0.072005
NLP0014I             8         OPT -1834.9706       39 0.072004
NLP0014I             9         OPT -1842.0506       39 0.076005
NLP0014I            10         OPT -1834.9706       40 0.088005
NLP0014I            11         OPT -1842.0506       37 0.072005
NLP0014I            12         OPT -1834.9706       39 0.072004
NLP0014I            13         OPT -1842.0506       40 0.080005
NLP0014I            14         OPT -1730.7505       43 0.084006
NLP0014I            15         OPT -1843.0138       40 0.080005
NLP0014I            16         OPT -1843.0138       40 0.068004
NLP0014I            17         OPT -1556.0138       42 0.080005
NLP0014I            18         OPT -1843.0138       39 0.072004
NLP0014I            19         OPT -1556.0138       40 0.080005
NLP0014I            20         OPT -1733.2242       41 0.076005
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT -1843.0138       41 0.084005
NLP0014I            22         OPT -1843.0138       40 0.072005
NLP0014I            23         OPT -1556.0138       41 0.084005
NLP0014I            24         OPT -1733.2242       41 0.080005
NLP0014I            25         OPT -1843.0138       41 0.076005
NLP0014I            26         OPT -1841.6309       39 0.072005
NLP0014I            27         OPT -1749.0302       41 0.072004
NLP0014I            28         OPT -1807.9205       41 0.076005
NLP0014I            29         OPT -1846.6696       38 0.072004
NLP0014I            30         OPT -1845.6569       41 0.076004
NLP0014I            31         OPT -1808.5571       40 0.076005
NLP0014I            32         OPT -1845.6569       41 0.072005
NLP0014I            33         OPT -1808.5571       40 0.076004
NLP0014I            34         OPT -1847.5251       39 0.072005
NLP0014I            35         OPT -1712.0941       44 0.076005
NLP0014I            36         OPT -1841.8518       39 0.076005
NLP0014I            37         OPT -1803.9816       39 0.076004
NLP0014I            38         OPT -1841.8518       40 0.072005
NLP0014I            39         OPT -1827.849       38 0.076005
NLP0014I            40         OPT -1839.1949       38 0.072004
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            41         OPT -1841.8518       38 0.072005
NLP0014I            42         OPT -1839.1949       38 0.072004
NLP0014I            43         OPT -1841.8518       38 0.072005
NLP0014I            44         OPT -1839.1949       39 0.072004
NLP0014I            45         OPT -1841.8518       39 0.072005
NLP0014I            46         OPT -1841.8518       39 0.076005
NLP0014I            47         OPT -1827.849       41 0.076004
NLP0014I            48         OPT -1847.4176       39 0.080005
NLP0014I            49         OPT -1747.3938       39 0.072005
NLP0014I            50         OPT -1847.4176       39 0.072005
NLP0014I            51         OPT -1747.3938       43 0.080005
NLP0014I            52         OPT -1145.653       40 0.068004
NLP0014I            53         OPT -1845.0073       36 0.068004
NLP0014I            54         OPT -1573.4535       41 0.080005
NLP0014I            55         OPT -1845.0073       38 0.076005
NLP0014I            56         OPT -1573.4535       41 0.080005
NLP0014I            57         OPT -1845.0073       35 0.068004
NLP0014I            58         OPT -1848.1617       37 0.068005
NLP0014I            59         OPT -1787.9942       42 0.076004
NLP0014I            60         OPT -1848.1617       35 0.064004
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            61         OPT -1822.9659       40 0.076005
NLP0014I            62         OPT -1604.9215       43 0.084005
NLP0014I            63         OPT -1846.7675       41 0.080005
NLP0014I            64         OPT -1604.9215       41 0.080005
NLP0014I            65         OPT -1846.7675       37 0.072005
NLP0014I            66         OPT -1604.9215       41 0.080005
NLP0014I            67         OPT -1846.9127       38 0.068004
NLP0014I            68         OPT -1842.1806       40 0.080005
NLP0014I            69         OPT -1769.9928       38 0.076005
NLP0014I            70         OPT -1839.6172       41 0.076005
NLP0014I            71         OPT -1811.344       37 0.072004
NLP0014I            72         OPT -1846.2696       37 0.072005
NLP0014I            73         OPT -1839.6172       39 0.072004
NLP0014I            74         OPT -1846.2696       37 0.064004
NLP0014I            75         OPT -1842.1806       38 0.072005
NLP0014I            76         OPT -1846.2696       37 0.072004
NLP0014I            77         OPT -1839.6172       39 0.060004
NLP0014I            78         OPT -1839.6172       41 0.072005
NLP0014I            79         OPT -1811.344       37 0.068004
NLP0014I            80         OPT -1843.8757       39 0.076005
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            81         OPT -1831.1587       38 0.072004
NLP0014I            82         OPT -1842.1614       40 0.076005
NLP0014I            83         OPT -1834.3756       37 0.064004
NLP0014I            84         OPT -1846.0209       37 0.068004
NLP0014I            85         OPT -1842.1614       39 0.068004
NLP0014I            86         OPT -1846.0209       36 0.064004
NLP0014I            87         OPT -1843.8757       38 0.068004
NLP0014I            88         OPT -1846.0209       36 0.064004
NLP0014I            89         OPT -1842.1614       40 0.072004
NLP0014I            90         OPT -1842.1614       39 0.072005
NLP0014I            91         OPT -1834.3756       35 0.064004
NLP0014I            92         OPT -1848.1265       37 0.060004
NLP0014I            93         OPT -1730.9271       42 0.076005
NLP0014I            94         OPT -1847.2447       39 0.072004
NLP0014I            95         OPT -1584.22       40 0.076005
NLP0014I            96         OPT -1847.2447       38 0.076005
NLP0014I            97         OPT -1584.22       41 0.076004
NLP0014I            98         OPT -1847.2447       39 0.076005
NLP0014I            99         OPT -1584.22       41 0.076005
NLP0014I           100         OPT -1848.1617       36 0.064004
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           101         OPT -1765.9969       42 0.076005
NLP0014I           102         OPT -1848.1617       36 0.068004
NLP0014I           103         OPT -1784.1054       43 0.076005
NLP0014I           104         OPT -1848.1617       36 0.072004
NLP0014I           105         OPT -1783.6116       42 0.076005
NLP0014I           106         OPT -1848.1617       37 0.072005
NLP0014I           107         OPT -1783.6116       42 0.080005
NLP0014I           108         OPT -1848.1617       35 0.056003
NLP0014I           109         OPT -1817.8617       40 0.072005
NLP0014I           110         OPT -1848.1617       36 0.068004
NLP0014I           111         OPT -1817.8617       42 0.080005
NLP0014I           112         OPT -1844.2773       39 0.072004
NLP0014I           113         OPT -1840.4765       38 0.072005
NLP0014I           114         OPT -1847.3442       39 0.080005
NLP0014I           115         OPT -1844.2773       39 0.076005
NLP0014I           116         OPT -1841.3345       41 0.084005
NLP0014I           117         OPT -1844.5992       36 0.076005
NLP0014I           118         OPT -1847.5894       36 0.072004
NLP0014I           119         OPT -1841.3345       40 0.076005
NLP0014I           120         OPT -1847.5894       38 0.076005
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           121         OPT -1841.3345       40 0.076004
NLP0014I           122         OPT -1841.3345       41 0.080005
NLP0014I           123         OPT -1844.5992       37 0.072005
NLP0014I           124         OPT -1848.1617       35 0.064004
NLP0014I           125         OPT -1400.9683       42 0.072005
NLP0014I           126         OPT -1848.1617       35 0.064004
NLP0014I           127         OPT -1402.2183       42 0.080005
NLP0014I           128         OPT -1848.1617       36 0.072004
NLP0014I           129         OPT -1400.9683       42 0.076005
NLP0014I           130         OPT -1848.1617       36 0.068004
NLP0014I           131         OPT -1545.2812       41 0.076005
NLP0014I           132         OPT -1848.1617       35 0.068004
NLP0014I           133         OPT -1545.2812       41 0.076004
NLP0014I           134         OPT -1848.1617       36 0.064004
NLP0014I           135         OPT -1286.5871       43 0.080005
NLP0014I           136         OPT -1848.1323       35 0.064004
NLP0014I           137         OPT -1840.7148       40 0.084005
NLP0014I           138         OPT -1840.7148       40 0.076005
NLP0014I           139         OPT -1848.1323       36 0.068004
NLP0014I           140         OPT -1552.0219       42 0.080005
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           141         OPT -1848.1613       34 0.068004
NLP0014I           142         OPT -1848.1613       35 0.076005
NLP0014I           143         OPT -1552.0219       39 0.076005
NLP0014I           144         OPT -1552.0219       41 0.080005
NLP0014I           145         OPT -1848.1617       35 0.068004
NLP0014I           146         OPT -1848.1613       33 0.068004
NLP0014I           147         OPT -1552.0219       40 0.076005
NLP0014I           148         OPT -1552.0219       41 0.084005
NLP0014I           149         OPT -1848.1613       36 0.068004
NLP0014I           150         OPT -1848.1613       34 0.064004
NLP0014I           151         OPT -1843.1617       35 0.072005
NLP0014I           152         OPT -1807.3096      120 0.216013
NLP0014I           153         OPT -1770.1597      117 0.216014
NLP0014I           154         OPT -1804.7463      106 0.192012
NLP0014I           155         OPT -1806.4552      113 0.208013
NLP0014I           156         OPT -1770.1597       91 0.16401
NLP0014I           157         OPT -1804.7463      105 0.180011
Cbc0010I After 0 nodes, 1 on tree, -1774.3987 best solution, best possible -1804.7463 (12.54 seconds)
NLP0014I           158         OPT -1798.6352      106 0.180011
NLP0014I           159         OPT -1756.9241      106 0.192012
NLP0014I           160         OPT -1792.3252      104 0.188012
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           161         OPT -1774.5928      122 0.224014
NLP0014I           162         OPT -1792.3252      104 0.184011
NLP0014I           163         OPT -1792.3252      115 0.196013
NLP0014I           164         OPT -1774.5928      102 0.184011
NLP0014I           165         OPT -1757.7051      126 0.228015
NLP0014I           166         OPT -1792.3252      111 0.188011
NLP0014I           167         OPT -1774.5928      111 0.204013
NLP0014I           168         OPT -1771.3428      119 0.216014
NLP0014I           169         OPT -1730.9428      135 0.252015
NLP0014I           170         OPT -1771.3428       96 0.172011
NLP0014I           171         OPT -1757.1621      117 0.212013
NLP0014I           172         OPT -1771.3428      105 0.192012
NLP0014I           173         OPT -1757.1621      103 0.192012
NLP0014I           174         OPT -1757.1621      122 0.224014
NLP0014I           175         OPT -1771.3428      115 0.212013
NLP0014I           176         OPT -1790.019      108 0.192012
NLP0014I           177         OPT -1753.4648      129 0.228014
NLP0014I           178         OPT -1787.221      102 0.184012
NLP0014I           179         OPT -1752.9524       97 0.176011
NLP0014I           180         OPT -1781.2233      105 0.188012
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           181         OPT -1773.3908      119 0.208013
NLP0014I           182         OPT -1777.3412       88 0.152009
NLP0014I           183         OPT -1773.4667      131 0.244015
NLP0014I           184         OPT -1773.7946      118 0.216014
NLP0014I           185         OPT -1774.3987      115 0.204013
Cbc0001I Search completed - best objective -1774.398652261323, took 2001 iterations and 16 nodes (18.20 seconds)
Cbc0032I Strong branching done 83 times (7619 iterations), fathomed 1 nodes and fixed 35 variables
Cbc0035I Maximum depth 7, 0 variables fixed on reduced cost

bonmin: Optimal

 	"Finished"
