Bonmin 1.7 using Cbc 2.8 and Ipopt 3.11


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 734943.36       61 0.098617
NLP0014I             2         OPT 734943.36       16 0.031781
NLP0014I             3      INFEAS 0.16967781       52 0.104104
NLP0014I             4         OPT 734943.36       16 0.028282
NLP0014I             5         OPT 738213.21       15 0.025774
NLP0014I             6         OPT 734943.36       16 0.024773
NLP0014I             7      INFEAS 0.1908052       38 0.064134
NLP0014I             8         OPT 734943.36       16 0.0272
NLP0014I             9         OPT 750770.07       19 0.031318
NLP0014I            10         OPT 734943.36       16 0.025448
NLP0014I            11         OPT 735707.37       15 0.025444
NLP0014I            12         OPT 734943.36       16 0.022838
NLP0014I            13         OPT 744640.99       17 0.028414
NLP0014I            14         OPT 734943.36       16 0.022907
NLP0014I            15         OPT 737883.38       14 0.025368
NLP0014I            16         OPT 734943.36       16 0.024308
NLP0014I            17         OPT 735755.81       17 0.028344
NLP0014I            18         OPT 734943.36       16 0.024531
NLP0014I            19      INFEAS 0.16575987       58 0.111986
NLP0014I            20         OPT 734943.36       16 0.022913
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            21         OPT 738326.12       16 0.029594
NLP0014I            22         OPT 734943.36       16 0.03058
NLP0014I            23         OPT 738289.05       15 0.024621
NLP0014I            24         OPT 734943.36       16 0.024781
NLP0014I            25         OPT 746806.91       19 0.035831
NLP0014I            26         OPT 734943.36       16 0.033797
NLP0014I            27         OPT 743474.29       17 0.037506
NLP0014I            28         OPT 734943.36       16 0.03195
NLP0014I            29         OPT 739660.91       16 0.029481
NLP0014I            30         OPT 734943.36       16 0.03753
NLP0014I            31         OPT 738824.97       17 0.037613
NLP0014I            32         OPT 734943.36       16 0.034468
NLP0014I            33         OPT 736039.96       16 0.03628
NLP0014I            34         OPT 734943.36       16 0.033215
NLP0014I            35         OPT 740909.5       16 0.032212
NLP0014I            36         OPT 734943.36       16 0.030427
NLP0014I            37         OPT 736857.88       15 0.027601
NLP0014I            38         OPT 734943.36       16 0.025798
NLP0014I            39         OPT 735555.99       17 0.030845
NLP0014I            40         OPT 734943.36       16 0.028393
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            41         OPT 741860.83       17 0.02516
NLP0014I            42         OPT 734943.36       16 0.028972
NLP0014I            43         OPT 744493.56       17 0.027422
NLP0014I            44         OPT 734943.36       16 0.031583
NLP0014I            45         OPT 747335.49       19 0.037696
NLP0014I            46         OPT 734943.36       16 0.02903
NLP0014I            47         OPT 750756.46       17 0.032611
NLP0014I            48         OPT 734943.36       16 0.029084
NLP0014I            49         OPT 745649.91       17 0.031301
NLP0014I            50         OPT 734943.36       16 0.028861
NLP0014I            51         OPT 739369.35       18 0.031319
NLP0014I            52         OPT 734943.36       16 0.03209
NLP0014I            53         OPT 749621.08       16 0.035165
NLP0014I            54         OPT 734943.36       16 0.030054
NLP0014I            55         OPT 750980.72       19 0.032996
NLP0014I            56         OPT 734943.36       16 0.030029
NLP0014I            57         OPT 748155.6       17 0.029444
NLP0014I            58         OPT 734943.36       16 0.030962
NLP0014I            59         OPT 760210.36       22 0.040372
NLP0014I            60         OPT 734943.36       16 0.027894
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            61         OPT 757177.35       17 0.02941
NLP0014I            62         OPT 734943.36       16 0.029042
NLP0014I            63         OPT 741114.84       17 0.031591
NLP0014I            64         OPT 734943.36       16 0.029687
NLP0014I            65         OPT 752193.04       17 0.027421
NLP0014I            66         OPT 734943.36       16 0.029099
NLP0014I            67         OPT 745005.41       17 0.02791
NLP0014I            68         OPT 734943.36       16 0.022245
NLP0014I            69         OPT 759355.83       17 0.028557
NLP0014I            70         OPT 734943.36       16 0.030431
NLP0014I            71         OPT 756675.54       18 0.03236
NLP0014I            72         OPT 734943.36       18 0.030739
NLP0014I            73         OPT 747343.12       17 0.029353
NLP0014I            74         OPT 734943.36       16 0.026102
NLP0014I            75         OPT 755425.77       19 0.033785
NLP0014I            76         OPT 734943.36       16 0.030754
NLP0014I            77         OPT 750384.58       17 0.024653
NLP0014I            78         OPT 734943.36       16 0.029792
NLP0014I            79      INFEAS 0.18375039       66 0.118254
NLP0014I            80         OPT 734943.36       16 0.0224
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I            81      INFEAS 0.13362712       51 0.094039
NLP0014I            82         OPT 734943.36       16 0.030223
NLP0014I            83         OPT 747170.63       17 0.029138
NLP0014I            84         OPT 734943.36       16 0.026971
NLP0014I            85         OPT 761754.33       18 0.031669
NLP0014I            86         OPT 734943.36       16 0.02749
NLP0014I            87         OPT 767946.52       19 0.031919
NLP0014I            88         OPT 734943.36       16 0.02842
NLP0014I            89      INFEAS 0.26537825       55 0.128338
NLP0014I            90         OPT 734943.36       16 0.027542
NLP0014I            91         OPT 761847.83       19 0.033842
NLP0014I            92         OPT 734943.36       16 0.027582
NLP0014I            93         OPT 754339.05       18 0.026527
NLP0014I            94         OPT 734943.36       16 0.024748
NLP0014I            95         OPT 770198.98       18 0.031522
NLP0014I            96         OPT 734943.36       16 0.028311
NLP0014I            97      INFEAS 0.40474904       63 0.1779
NLP0014I            98         OPT 734943.36       16 0.036138
NLP0014I            99         OPT 754041.02       17 0.03215
NLP0014I           100         OPT 734943.36       16 0.029226
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           101         OPT 757617.13       17 0.027077
NLP0014I           102         OPT 734943.36       16 0.02691
NLP0014I           103      INFEAS 0.38810847       69 0.151577
NLP0014I           104         OPT 734943.36       16 0.028508
NLP0014I           105         OPT 795443.21       24 0.043092
NLP0014I           106         OPT 734943.36       16 0.027584
NLP0014I           107         OPT 764997.37       17 0.029014
NLP0014I           108         OPT 734943.36       16 0.027058
NLP0014I           109      INFEAS 0.30019308       50 0.098079
NLP0014I           110         OPT 734943.36       16 0.030043
NLP0014I           111         OPT 761229.6       18 0.038102
NLP0014I           112         OPT 734943.36       18 0.036041
NLP0014I           113         OPT 754469.66       17 0.03526
NLP0014I           114         OPT 734943.36       16 0.034977
NLP0014I           115         OPT 768708.24       19 0.035744
NLP0014I           116         OPT 734943.36       16 0.027145
NLP0014I           117         OPT 761135.7       19 0.038719
NLP0014I           118         OPT 734943.36       16 0.022389
NLP0014I           119         OPT 769294.81       20 0.053694
NLP0014I           120         OPT 734943.36       16 0.039004
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           121      INFEAS 0.63233493       48 0.133469
NLP0014I           122      INFEAS 13.81551       21 0.062214
NLP0014I           123         OPT 736330.63       17 0.034542
NLP0014I           124      INFEAS 13.81551       20 0.052867
NLP0014I           125         OPT 736367.7       15 0.032016
NLP0014I           126      INFEAS 13.81551       20 0.053436
NLP0014I           127         OPT 736255.66       15 0.03274
NLP0014I           128      INFEAS 13.81551       21 0.05034
NLP0014I           129         OPT 736304.39       15 0.030309
NLP0014I           130      INFEAS 13.81551       20 0.051556
NLP0014I           131         OPT 736171.11       16 0.026487
NLP0014I           132      INFEAS 13.81551       20 0.044057
NLP0014I           133         OPT 736171.11       18 0.032994
NLP0014I           134      INFEAS 13.81551       20 0.044502
NLP0014I           135         OPT 736139.61       16 0.030517
NLP0014I           136      INFEAS 13.81551       20 0.039398
NLP0014I           137         OPT 735854.43       18 0.030595
NLP0014I           138      INFEAS 13.81551       21 0.04236
NLP0014I           139         OPT 735854.43       17 0.030049
NLP0014I           140         OPT 745903.99       17 0.023864
Cbc0010I After 0 nodes, 0 on tree, 1e+50 best solution, best possible 745903.99 (5.32 seconds)
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           141         OPT 745903.99       17 0.025807
NLP0014I           142         OPT 806305.06       22 0.034718
NLP0014I           143         OPT 745903.99       17 0.030138
NLP0014I           144         OPT 781161.83       18 0.027427
NLP0014I           145         OPT 745903.99       17 0.026217
NLP0014I           146         OPT 783334.17       21 0.027676
NLP0014I           147         OPT 745903.99       17 0.024464
NLP0014I           148         OPT 782627.16       18 0.000631
NLP0014I           149         OPT 745903.99       17 0.024738
NLP0014I           150         OPT 778963.96       19 0.032802
NLP0014I           151         OPT 745903.99       17 0.034958
NLP0014I           152         OPT 778577.11       18 0.043849
NLP0014I           153         OPT 745903.99       17 0.03728
NLP0014I           154         OPT 774248.18       18 0.040438
NLP0014I           155         OPT 745903.99       17 0.040156
NLP0014I           156         OPT 772568.66       19 0.036175
NLP0014I           157         OPT 745903.99       17 0.045416
NLP0014I           158         OPT 772712.11       20 0.045324
NLP0014I           159         OPT 745903.99       17 0.04561
NLP0014I           160         OPT 772782.35       18 0.043995
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           161         OPT 745903.99       17 0.041587
NLP0014I           162         OPT 770855.24       22 0.054556
NLP0014I           163         OPT 745903.99       17 0.057942
NLP0014I           164         OPT 770380.68       18 0.048177
NLP0014I           165         OPT 745903.99       17 0.047012
NLP0014I           166         OPT 768812.26       16 0.044272
NLP0014I           167         OPT 745903.99       17 0.029168
NLP0014I           168         OPT 768876.45       19 0.033397
NLP0014I           169         OPT 745903.99       17 0.041903
NLP0014I           170         OPT 767690.29       19 0.042127
NLP0014I           171         OPT 745903.99       17 0.041017
NLP0014I           172         OPT 766569.81       18 0.036066
NLP0014I           173         OPT 745903.99       17 0.040116
NLP0014I           174         OPT 768106.78       20 0.045352
NLP0014I           175         OPT 745903.99       16 0.040168
NLP0014I           176         OPT 765423.89       18 0.040471
NLP0014I           177         OPT 745903.99       16 0.04065
NLP0014I           178         OPT 765001.19       17 0.043136
NLP0014I           179         OPT 745903.99       16 0.041413
NLP0014I           180         OPT 761659.29       17 0.03024
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           181         OPT 745903.99       16 0.035682
NLP0014I           182         OPT 761764.36       17 0.028416
NLP0014I           183         OPT 745903.99       16 0.026734
NLP0014I           184         OPT 763152.08       18 0.032094
NLP0014I           185         OPT 745903.99       16 0.026525
NLP0014I           186         OPT 762014.59       19 0.03278
NLP0014I           187         OPT 745903.99       16 0.028083
NLP0014I           188         OPT 761408       19 0.033313
NLP0014I           189         OPT 745903.99       16 0.02568
NLP0014I           190         OPT 760664.59       18 0.031263
NLP0014I           191         OPT 745903.99       16 0.02506
NLP0014I           192         OPT 759628.95       18 0.026006
NLP0014I           193         OPT 745903.99       16 0.017951
NLP0014I           194         OPT 759278.01       20 0.009588
